Producto,Marca,Modelo,Calificación,Fecha,Texto
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Es de buena calidad
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,2 de 5 estrellas.,hace 10 meses,Me llego con fallas no funcionaba correctamente
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 11 meses,"Toda una desepcion con este producto me llegó con fallas de fabrica a unos días de uso se recalentaba demasiado fuera de lo normal debajo de los botones de subir y bajar volumen al cargarlo y al reproducir videos.. Deseo devolución de mi dinero o cancelar cobro! Y encima no ay un experto presencial te obligan y derivan a 15 días hábiles, engorroso el proceso..! Pésima experiencia! Me afecta mi sistema de pago señores falabella quiero solución ya!"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Todo es como lo especifica los detalles, incluso pide comprar el case por 1 sol. Muy feliz con mi compra. Pero si les recomiendo esperar al cyber wow porque ahí es más barato."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 horas,me encanto
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,3 de 5 estrellas.,hace 17 días,"El celular se ve nuevo, tiene garantía de un año pero se calienta demasiado, ni mi iPhone 11 es así, a parte que la batería no dura mucho:/"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Excelente producto , totalmente contento con mi compra."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 15 días,"Producto me llegó sellado tal y como lo esperaba. Hasta el momento funciona a la perfección, se lo recomiendo. Saludos"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace un año,Te ofrecen pagar en 12 cuotas S/ 359.90 con CMR y a la hora de realizar el pago es otro monto muy distinto y elevado.
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,Si tal cuál a la foto buena calidad todo super... Graciasssss!
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El equipo corresponde al modelo que pedí, también la capacidad, el tamaño es Perfecto , el color quede muy enamorada del color, muy buena calidad, la entrega fue en la fecha indicada, el equipo incluso llegó antes de la entrega estimada"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Vino sellado , es equipo nuevo por si tienen duda y la batería si es buena"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 11 meses,"El producto se ve de buena calidad, el diseño clasico del ultimo que salio de la mano con Steve Jobs, pero tenia mas expectativas del telefono, la camara es buena pero nada espectacular igual del resto, se ve bueno pero un Iphone ya no es lo de antes, ayudo mucho la marca pero ya no va siendo suficiente."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Muy buena, la batería y el tamaño es tal cual a la foto"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Muy buen producto, bastante funcional, buena calidad"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Buen celular, como siempre iPhone dando la talla"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Es tal cual la descripción
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,Es de buena calidad
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Hasta el momento todo ok, pero la caja vino un poco sucia y sin el plástico que trae encima. Espero no tener problemas con el equipo más adelante."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 3 meses,"Todo funciona correctamente, es un alivio tener un proveedor autorizado por apple como es Saga"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,es identica ala foto y buena calidad
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Compre con miedo por ser un valor alto, pero saga me da confianza con la forma en comp manejan los pagos y delivery. Me llego rn el tiempo indicado y el producto cumple con mis expectativas"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Es igual a la foto, muy buena calidad y el tamaño está perfecto"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Compra en el tiempo determinado y con garantía
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,Es igual a la foto
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,Excelente celular
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,De buena calidad
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 4 meses,¿Te fue útil este comentario?
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 9 meses,"Escuche que su batería se degrada en el corto plazo de garantía, no digo que el producto sea malo pero para un Gamer es necesario que la Batería dure más, ademas Apple está indemnizando a usuarios pero con el menor costo del producto final, así que mejor no compren o busquen otras opciones o depende de cada uno si se arriesga cada uno hace con su dinero lo que desea y no lleguen al engorroso trámite de devolución que la mayoría de casos es muy difícil."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 4 meses,Lo recogí en Tienda el único inconveniente que tuvo es que no vino con Burbupack sin nada que lo proteja de los golpes .. fue la segunda vez que compré y en la primera  vino muy seguro y también lo recogí en tienda.
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 4 meses,"Buena, excelente atención por parte del grupo Falabella"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,¿Te fue útil este comentario?
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 8 meses,"Lo compre por seguridad bloquea con rostro, huella y contraseña, robado y en 10 minutos hackeado donde me robaron toda la informacion y se metieron desde mi correo a todas las app de bancos, respuesta de apple al avisar robo para boquear equipo que no podian hacer nada ya que solo yo podia bloquear a traves de la web, contraseña que tambien fue cambiada, lo guardado en la nube y por lo cual pagaba mensualmente no lo pueden recuperar porque ellos solo te dan almacenamiento, una burla."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Es equipo es tal cual la descripción, llego en buen estado. Se nota la diferencia en la duración de la batería ?? comparado con los iPhone anteriores"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Tiene el zoom de 0.5 a partir de esta versión y en mi caso vino con un case transparente de regalo además de 3 cuotas sin intereses
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 meses,"El rendimiento es increíble, la cámara es excelente y la batería dura todo el día. El diseño también es muy elegante y resistente."
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 8 meses,"Producto bastante completo, cumple con todo lo ofrecido. Excelente modelo para entrar en todo el ecosistema, al principio puede ser un poco complicado, pero es bastante fácil y intuitivo adaptarse. 128Gb bastan para el uso normal, en lo personal lo ocupo mucho para trabajo y un poco para fotos, nada de juegos. La batería de momento (mas de 1 mes de uso) me dura todo el día y un poco mas. De mas esta decir su cámara, la cual es genial y tiene un monto de personalización"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 5 meses,"Si es de el tamaño de la foto, me desconcertó un poco que las cajas ambas vengan manchadas"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Igual a la fotografía, color lindo! y excelente procesador"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,"Excelente calidad, lo que se podría esperar de un iPhone"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Muy bien ,  llegó en buen estado ,buena calidad de fotos"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 9 meses,Igual a la foto y corresponde a la calidad esperada
