Producto,Marca,Modelo,Calificación,Fecha,Texto,texto_limpio,sentimiento,tokens,dominant_topic,sentimiento_vader,category,vector
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Es de buena calidad,buen calidad,1,"['buen', 'calidad']",2,0,Camara,"1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,2 de 5 estrellas.,hace 10 meses,Me llego con fallas no funcionaba correctamente,llego falla funcionar correctamente,-1,"['llego', 'falla', 'funcionar', 'correctamente']",0,-1,Rendimiento,"15,216,43,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 11 meses,"Toda una desepcion con este producto me llegó con fallas de fabrica a unos días de uso se recalentaba demasiado fuera de lo normal debajo de los botones de subir y bajar volumen al cargarlo y al reproducir videos.. Deseo devolución de mi dinero o cancelar cobro! Y encima no ay un experto presencial te obligan y derivan a 15 días hábiles, engorroso el proceso..! Pésima experiencia! Me afecta mi sistema de pago señores falabella quiero solución ya!",todo desepcion producto llegar falla fabricar día uso recalentar demasiado normal debajo botón subir bajar volumen cargar él reproducir video desear devolución dinero cancelar cobro encima experto presencial obligar derivar día hábil engorroso proceso pésima experiencia afectar sistema pago señor falabella querer solución,-1,"['desepcion', 'producto', 'llegar', 'falla', 'fabricar', 'día', 'uso', 'recalentar', 'demasiado', 'normal', 'debajo', 'botón', 'subir', 'bajar', 'volumen', 'cargar', 'reproducir', 'video', 'desear', 'devolución', 'dinero', 'cancelar', 'cobro', 'encima', 'experto', 'presencial', 'obligar', 'derivar', 'día', 'hábil', 'engorroso', 'proceso', 'pésima', 'experiencia', 'afectar', 'sistema', 'pago', 'señor', 'falabella', 'querer', 'solución']",1,-1,Bateria,"1731,3,21,216,1741,28,91,498,157,277,1802,1792,563,848,424,176,1078,211,502,518,936,935,1774,1033,267,1768,1765,1748,28,1035,1038,402,934,82,1750,167,436,1804,78,90,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Todo es como lo especifica los detalles, incluso pide comprar el case por 1 sol. Muy feliz con mi compra. Pero si les recomiendo esperar al cyber wow porque ahí es más barato.",especificar detalle incluso pedir comprar case sol feliz compra recomeir esperar cyber wow ahí barato,0,"['especificar', 'detalle', 'incluso', 'pedir', 'comprar', 'case', 'sol', 'feliz', 'compra', 'recomeir', 'esperar', 'cyber', 'wow', 'ahí', 'barato']",0,1,Rendimiento,"435,135,287,161,64,193,932,107,22,45,42,392,541,633,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 horas,me encanto,encanto,0,['encanto'],2,0,Camara,"67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,3 de 5 estrellas.,hace 17 días,"El celular se ve nuevo, tiene garantía de un año pero se calienta demasiado, ni mi iPhone 11 es así, a parte que la batería no dura mucho:/",celular nuevo garantía año calienta demasiado iphonar así parte bateer duro,-1,"['celular', 'nuevo', 'garantía', 'año', 'calienta', 'demasiado', 'iphonar', 'así', 'parte', 'bateer', 'duro']",1,-1,Bateria,"14,60,191,175,256,157,34,166,306,37,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Excelente producto , totalmente contento con mi compra.",excelente producto totalmente contento compra,1,"['excelente', 'producto', 'totalmente', 'contento', 'compra']",0,0,Rendimiento,"6,3,89,134,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 15 días,"Producto me llegó sellado tal y como lo esperaba. Hasta el momento funciona a la perfección, se lo recomiendo. Saludos",producto llegar sellado tal esperar momento funcionar perfección recomeir saludo,0,"['producto', 'llegar', 'sellado', 'tal', 'esperar', 'momento', 'funcionar', 'perfección', 'recomeir', 'saludo']",0,0,Rendimiento,"3,21,59,11,42,58,43,1884,45,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace un año,Te ofrecen pagar en 12 cuotas S/ 359.90 con CMR y a la hora de realizar el pago es otro monto muy distinto y elevado.,ofrecer pagar cuota cmr hora realizar pago monto distinto elevado,0,"['ofrecer', 'pagar', 'cuota', 'cmr', 'hora', 'realizar', 'pago', 'monto', 'distinto', 'elevado']",1,0,Bateria,"190,639,269,465,220,445,436,930,23,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,Si tal cuál a la foto buena calidad todo super... Graciasssss!,tal cuál foto buen calidad super graciasssss,1,"['tal', 'cuál', 'foto', 'buen', 'calidad', 'super', 'graciasssss']",2,1,Camara,"11,559,4,1,2,73,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
