Producto,Marca,Modelo,CalificaciÃ³n,Fecha,Texto,texto_limpio,sentimiento,tokens,dominant_topic,sentimiento_vader
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Es de buena calidad,buen calidad,POS,"['buen', 'calidad']",2,NEU
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,2 de 5 estrellas.,hace 10 meses,Me llego con fallas no funcionaba correctamente,llego falla funcionar correctamente,NEG,"['llego', 'falla', 'funcionar', 'correctamente']",0,NEG
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 11 meses,"Toda una desepcion con este producto me llegÃ³ con fallas de fabrica a unos dÃ­as de uso se recalentaba demasiado fuera de lo normal debajo de los botones de subir y bajar volumen al cargarlo y al reproducir videos.. Deseo devoluciÃ³n de mi dinero o cancelar cobro! Y encima no ay un experto presencial te obligan y derivan a 15 dÃ­as hÃ¡biles, engorroso el proceso..! PÃ©sima experiencia! Me afecta mi sistema de pago seÃ±ores falabella quiero soluciÃ³n ya!",todo desepcion producto llegar falla fabricar dÃ­a uso recalentar demasiado normal debajo botÃ³n subir bajar volumen cargar Ã©l reproducir video desear devoluciÃ³n dinero cancelar cobro encima experto presencial obligar derivar dÃ­a hÃ¡bil engorroso proceso pÃ©sima experiencia afectar sistema pago seÃ±or falabella querer soluciÃ³n,NEG,"['desepcion', 'producto', 'llegar', 'falla', 'fabricar', 'dÃ­a', 'uso', 'recalentar', 'demasiado', 'normal', 'debajo', 'botÃ³n', 'subir', 'bajar', 'volumen', 'cargar', 'reproducir', 'video', 'desear', 'devoluciÃ³n', 'dinero', 'cancelar', 'cobro', 'encima', 'experto', 'presencial', 'obligar', 'derivar', 'dÃ­a', 'hÃ¡bil', 'engorroso', 'proceso', 'pÃ©sima', 'experiencia', 'afectar', 'sistema', 'pago', 'seÃ±or', 'falabella', 'querer', 'soluciÃ³n']",1,NEG
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Todo es como lo especifica los detalles, incluso pide comprar el case por 1 sol. Muy feliz con mi compra. Pero si les recomiendo esperar al cyber wow porque ahÃ­ es mÃ¡s barato.",especificar detalle incluso pedir comprar case sol feliz compra recomeir esperar cyber wow ahÃ­ barato,NEU,"['especificar', 'detalle', 'incluso', 'pedir', 'comprar', 'case', 'sol', 'feliz', 'compra', 'recomeir', 'esperar', 'cyber', 'wow', 'ahÃ­', 'barato']",0,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 horas,me encanto,encanto,NEU,['encanto'],2,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,3 de 5 estrellas.,hace 17 dÃ­as,"El celular se ve nuevo, tiene garantÃ­a de un aÃ±o pero se calienta demasiado, ni mi iPhone 11 es asÃ­, a parte que la baterÃ­a no dura mucho:/",celular nuevo garantÃ­a aÃ±o calienta demasiado iphonar asÃ­ parte bateer duro,NEG,"['celular', 'nuevo', 'garantÃ­a', 'aÃ±o', 'calienta', 'demasiado', 'iphonar', 'asÃ­', 'parte', 'bateer', 'duro']",1,NEG
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 aÃ±os,"Excelente producto , totalmente contento con mi compra.",excelente producto totalmente contento compra,POS,"['excelente', 'producto', 'totalmente', 'contento', 'compra']",0,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 15 dÃ­as,"Producto me llegÃ³ sellado tal y como lo esperaba. Hasta el momento funciona a la perfecciÃ³n, se lo recomiendo. Saludos",producto llegar sellado tal esperar momento funcionar perfecciÃ³n recomeir saludo,NEU,"['producto', 'llegar', 'sellado', 'tal', 'esperar', 'momento', 'funcionar', 'perfecciÃ³n', 'recomeir', 'saludo']",0,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace un aÃ±o,Te ofrecen pagar en 12 cuotas S/ 359.90 con CMR y a la hora de realizar el pago es otro monto muy distinto y elevado.,ofrecer pagar cuota cmr hora realizar pago monto distinto elevado,NEU,"['ofrecer', 'pagar', 'cuota', 'cmr', 'hora', 'realizar', 'pago', 'monto', 'distinto', 'elevado']",1,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,Si tal cuÃ¡l a la foto buena calidad todo super... Graciasssss!,tal cuÃ¡l foto buen calidad super graciasssss,POS,"['tal', 'cuÃ¡l', 'foto', 'buen', 'calidad', 'super', 'graciasssss']",2,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un aÃ±o,"El equipo corresponde al modelo que pedÃ­, tambiÃ©n la capacidad, el tamaÃ±o es Perfecto , el color quede muy enamorada del color, muy buena calidad, la entrega fue en la fecha indicada, el equipo incluso llegÃ³ antes de la entrega estimada",equipo corresponder modelo pedir capacidad tamaÃ±o perfecto color quedar enamorado color buen calidad entrega fecha indicado equipo incluso llegar entrega estimado,NEU,"['equipo', 'corresponder', 'modelo', 'pedir', 'capacidad', 'tamaÃ±o', 'perfecto', 'color', 'quedar', 'enamorado', 'color', 'buen', 'calidad', 'entrega', 'fecha', 'indicado', 'equipo', 'incluso', 'llegar', 'entrega', 'estimado']",0,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Vino sellado , es equipo nuevo por si tienen duda y la baterÃ­a si es buena",venir sellado equipo nuevo dudar baterÃ­a buen,POS,"['venir', 'sellado', 'equipo', 'nuevo', 'dudar', 'baterÃ­a', 'buen']",0,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 11 meses,"El producto se ve de buena calidad, el diseÃ±o clasico del ultimo que salio de la mano con Steve Jobs, pero tenia mas expectativas del telefono, la camara es buena pero nada espectacular igual del resto, se ve bueno pero un Iphone ya no es lo de antes, ayudo mucho la marca pero ya no va siendo suficiente.",producto buen calidad diseÃ±o clasico ultimo salio mano steve jobs tenia mas expectativa telefono camarar buen espectacular igual resto bueno iphonar ayudo marcar ser suficiente,POS,"['producto', 'buen', 'calidad', 'diseÃ±o', 'clasico', 'ultimo', 'salio', 'mano', 'steve', 'jobs', 'tenia', 'mas', 'expectativa', 'telefono', 'camarar', 'buen', 'espectacular', 'igual', 'resto', 'bueno', 'iphonar', 'ayudo', 'marcar', 'ser', 'suficiente']",1,NEG
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Muy buena, la baterÃ­a y el tamaÃ±o es tal cual a la foto",buen baterÃ­a tamaÃ±o tal foto,POS,"['buen', 'baterÃ­a', 'tamaÃ±o', 'tal', 'foto']",2,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Muy buen producto, bastante funcional, buena calidad",buen producto bastante funcional buen calidad,POS,"['buen', 'producto', 'bastante', 'funcional', 'buen', 'calidad']",2,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Buen celular, como siempre iPhone dando la talla",buen celular siempre iphone dar talla,POS,"['buen', 'celular', 'siempre', 'iphone', 'dar', 'talla']",1,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Es tal cual la descripciÃ³n,tal descripciÃ³n,NEU,"['tal', 'descripciÃ³n']",2,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,Es de buena calidad,buen calidad,POS,"['buen', 'calidad']",2,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un aÃ±o,"Hasta el momento todo ok, pero la caja vino un poco sucia y sin el plÃ¡stico que trae encima. Espero no tener problemas con el equipo mÃ¡s adelante.",momento caja venir sucio plÃ¡stico traer encima esperar tener problema equipo adelante,NEG,"['momento', 'caja', 'venir', 'sucio', 'plÃ¡stico', 'traer', 'encima', 'esperar', 'tener', 'problema', 'equipo', 'adelante']",0,NEG
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 3 meses,"Todo funciona correctamente, es un alivio tener un proveedor autorizado por apple como es Saga",funcionar correctamente alivio tener proveedor autorizado apple saga,NEU,"['funcionar', 'correctamente', 'alivio', 'tener', 'proveedor', 'autorizado', 'apple', 'saga']",0,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,es identica ala foto y buena calidad,identico ala foto buen calidad,POS,"['identico', 'ala', 'foto', 'buen', 'calidad']",2,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un aÃ±o,"Compre con miedo por ser un valor alto, pero saga me da confianza con la forma en comp manejan los pagos y delivery. Me llego rn el tiempo indicado y el producto cumple con mis expectativas",comprar miedo ser valor alto sago confianza formar comp manejar pago delivery llego tiempo indicado producto cumplir expectativa,NEU,"['comprar', 'miedo', 'ser', 'valor', 'alto', 'sago', 'confianza', 'formar', 'comp', 'manejar', 'pago', 'delivery', 'llego', 'tiempo', 'indicado', 'producto', 'cumplir', 'expectativa']",0,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Es igual a la foto, muy buena calidad y el tamaÃ±o estÃ¡ perfecto",igual foto buen calidad tamaÃ±o perfecto,POS,"['igual', 'foto', 'buen', 'calidad', 'tamaÃ±o', 'perfecto']",2,POS
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Compra en el tiempo determinado y con garantÃ­a,compra tiempo determinado garantÃ­a,NEU,"['compra', 'tiempo', 'determinado', 'garantÃ­a']",0,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un aÃ±o,Es igual a la foto,igual foto,NEU,"['igual', 'foto']",2,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,Excelente celular,excelente celular,POS,"['excelente', 'celular']",0,NEU
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,De buena calidad,buen calidad,POS,"['buen', 'calidad']",2,NEU
