Producto	Marca	Modelo	Calificación	Fecha	Texto	texto_limpio	sentimiento	tokens	dominant_topic
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim	Desconocida	Desconocido	5 de 5 estrellas.	hace 5 meses	Es de buena calidad	buen calidad	POS	['buen', 'calidad']	2
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 2 años	Excelente producto , totalmente contento con mi compra.	excelente producto totalmente contento compra	POS	['excelente', 'producto', 'totalmente', 'contento', 'compra']	0
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 6 meses	Si tal cuál a la foto buena calidad todo super... Graciasssss!	tal cuál foto buen calidad super graciasssss	POS	['tal', 'cuál', 'foto', 'buen', 'calidad', 'super', 'graciasssss']	2
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 6 meses	Vino sellado , es equipo nuevo por si tienen duda y la batería si es buena	venir sellado equipo nuevo dudar batería buen	POS	['venir', 'sellado', 'equipo', 'nuevo', 'dudar', 'batería', 'buen']	0
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	4 de 5 estrellas.	hace 11 meses	El producto se ve de buena calidad, el diseño clasico del ultimo que salio de la mano con Steve Jobs, pero tenia mas expectativas del telefono, la camara es buena pero nada espectacular igual del resto, se ve bueno pero un Iphone ya no es lo de antes, ayudo mucho la marca pero ya no va siendo suficiente.	producto buen calidad diseño clasico ultimo salio mano steve jobs tenia mas expectativa telefono camarar buen espectacular igual resto bueno iphonar ayudo marcar ser suficiente	POS	['producto', 'buen', 'calidad', 'diseño', 'clasico', 'ultimo', 'salio', 'mano', 'steve', 'jobs', 'tenia', 'mas', 'expectativa', 'telefono', 'camarar', 'buen', 'espectacular', 'igual', 'resto', 'bueno', 'iphonar', 'ayudo', 'marcar', 'ser', 'suficiente']	1
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 10 meses	Muy buena, la batería y el tamaño es tal cual a la foto	buen batería tamaño tal foto	POS	['buen', 'batería', 'tamaño', 'tal', 'foto']	2
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 11 meses	Muy buen producto, bastante funcional, buena calidad	buen producto bastante funcional buen calidad	POS	['buen', 'producto', 'bastante', 'funcional', 'buen', 'calidad']	2
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 11 meses	Buen celular, como siempre iPhone dando la talla	buen celular siempre iphone dar talla	POS	['buen', 'celular', 'siempre', 'iphone', 'dar', 'talla']	1
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 11 meses	Es de buena calidad	buen calidad	POS	['buen', 'calidad']	2
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 5 meses	es identica ala foto y buena calidad	identico ala foto buen calidad	POS	['identico', 'ala', 'foto', 'buen', 'calidad']	2
Celular Apple Iphone 13 128gb	Desconocida	Desconocido	5 de 5 estrellas.	hace 6 meses	Es igual a la foto, muy buena calidad y el tamaño está perfecto	igual foto buen calidad tamaño perfecto	POS	['igual', 'foto', 'buen', 'calidad', 'tamaño', 'perfecto']	2
