Producto,Marca,Modelo,Calificación,Fecha,Texto,texto_limpio,sentimiento,tokens,dominant_topic
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 meses,Es de buena calidad,buen calidad,POS,"['buen', 'calidad']",2
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,Desconocida,Desconocido,2 de 5 estrellas.,hace 10 meses,Me llego con fallas no funcionaba correctamente,llego falla funcionar correctamente,NEG,"['llego', 'falla', 'funcionar', 'correctamente']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace 11 meses,"Toda una desepcion con este producto me llegó con fallas de fabrica a unos días de uso se recalentaba demasiado fuera de lo normal debajo de los botones de subir y bajar volumen al cargarlo y al reproducir videos.. Deseo devolución de mi dinero o cancelar cobro! Y encima no ay un experto presencial te obligan y derivan a 15 días hábiles, engorroso el proceso..! Pésima experiencia! Me afecta mi sistema de pago señores falabella quiero solución ya!",todo desepcion producto llegar falla fabricar día uso recalentar demasiado normal debajo botón subir bajar volumen cargar él reproducir video desear devolución dinero cancelar cobro encima experto presencial obligar derivar día hábil engorroso proceso pésima experiencia afectar sistema pago señor falabella querer solución,NEG,"['desepcion', 'producto', 'llegar', 'falla', 'fabricar', 'día', 'uso', 'recalentar', 'demasiado', 'normal', 'debajo', 'botón', 'subir', 'bajar', 'volumen', 'cargar', 'reproducir', 'video', 'desear', 'devolución', 'dinero', 'cancelar', 'cobro', 'encima', 'experto', 'presencial', 'obligar', 'derivar', 'día', 'hábil', 'engorroso', 'proceso', 'pésima', 'experiencia', 'afectar', 'sistema', 'pago', 'señor', 'falabella', 'querer', 'solución']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Todo es como lo especifica los detalles, incluso pide comprar el case por 1 sol. Muy feliz con mi compra. Pero si les recomiendo esperar al cyber wow porque ahí es más barato.",especificar detalle incluso pedir comprar case sol feliz compra recomeir esperar cyber wow ahí barato,NEU,"['especificar', 'detalle', 'incluso', 'pedir', 'comprar', 'case', 'sol', 'feliz', 'compra', 'recomeir', 'esperar', 'cyber', 'wow', 'ahí', 'barato']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 5 horas,me encanto,encanto,NEU,['encanto'],2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,3 de 5 estrellas.,hace 17 días,"El celular se ve nuevo, tiene garantía de un año pero se calienta demasiado, ni mi iPhone 11 es así, a parte que la batería no dura mucho:/",celular nuevo garantía año calienta demasiado iphonar así parte bateer duro,NEG,"['celular', 'nuevo', 'garantía', 'año', 'calienta', 'demasiado', 'iphonar', 'así', 'parte', 'bateer', 'duro']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 2 años,"Excelente producto , totalmente contento con mi compra.",excelente producto totalmente contento compra,POS,"['excelente', 'producto', 'totalmente', 'contento', 'compra']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 15 días,"Producto me llegó sellado tal y como lo esperaba. Hasta el momento funciona a la perfección, se lo recomiendo. Saludos",producto llegar sellado tal esperar momento funcionar perfección recomeir saludo,NEU,"['producto', 'llegar', 'sellado', 'tal', 'esperar', 'momento', 'funcionar', 'perfección', 'recomeir', 'saludo']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,1 de 5 estrellas.,hace un año,Te ofrecen pagar en 12 cuotas S/ 359.90 con CMR y a la hora de realizar el pago es otro monto muy distinto y elevado.,ofrecer pagar cuota cmr hora realizar pago monto distinto elevado,NEU,"['ofrecer', 'pagar', 'cuota', 'cmr', 'hora', 'realizar', 'pago', 'monto', 'distinto', 'elevado']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,Si tal cuál a la foto buena calidad todo super... Graciasssss!,tal cuál foto buen calidad super graciasssss,POS,"['tal', 'cuál', 'foto', 'buen', 'calidad', 'super', 'graciasssss']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"El equipo corresponde al modelo que pedí, también la capacidad, el tamaño es Perfecto , el color quede muy enamorada del color, muy buena calidad, la entrega fue en la fecha indicada, el equipo incluso llegó antes de la entrega estimada",equipo corresponder modelo pedir capacidad tamaño perfecto color quedar enamorado color buen calidad entrega fecha indicado equipo incluso llegar entrega estimado,NEU,"['equipo', 'corresponder', 'modelo', 'pedir', 'capacidad', 'tamaño', 'perfecto', 'color', 'quedar', 'enamorado', 'color', 'buen', 'calidad', 'entrega', 'fecha', 'indicado', 'equipo', 'incluso', 'llegar', 'entrega', 'estimado']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 6 meses,"Vino sellado , es equipo nuevo por si tienen duda y la batería si es buena",venir sellado equipo nuevo dudar batería buen,POS,"['venir', 'sellado', 'equipo', 'nuevo', 'dudar', 'batería', 'buen']",0
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,4 de 5 estrellas.,hace 11 meses,"El producto se ve de buena calidad, el diseño clasico del ultimo que salio de la mano con Steve Jobs, pero tenia mas expectativas del telefono, la camara es buena pero nada espectacular igual del resto, se ve bueno pero un Iphone ya no es lo de antes, ayudo mucho la marca pero ya no va siendo suficiente.",producto buen calidad diseño clasico ultimo salio mano steve jobs tenia mas expectativa telefono camarar buen espectacular igual resto bueno iphonar ayudo marcar ser suficiente,POS,"['producto', 'buen', 'calidad', 'diseño', 'clasico', 'ultimo', 'salio', 'mano', 'steve', 'jobs', 'tenia', 'mas', 'expectativa', 'telefono', 'camarar', 'buen', 'espectacular', 'igual', 'resto', 'bueno', 'iphonar', 'ayudo', 'marcar', 'ser', 'suficiente']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 10 meses,"Muy buena, la batería y el tamaño es tal cual a la foto",buen batería tamaño tal foto,POS,"['buen', 'batería', 'tamaño', 'tal', 'foto']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Muy buen producto, bastante funcional, buena calidad",buen producto bastante funcional buen calidad,POS,"['buen', 'producto', 'bastante', 'funcional', 'buen', 'calidad']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,"Buen celular, como siempre iPhone dando la talla",buen celular siempre iphone dar talla,POS,"['buen', 'celular', 'siempre', 'iphone', 'dar', 'talla']",1
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 7 meses,Es tal cual la descripción,tal descripción,NEU,"['tal', 'descripción']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace 11 meses,Es de buena calidad,buen calidad,POS,"['buen', 'calidad']",2
Celular Apple Iphone 13 128gb,Desconocida,Desconocido,5 de 5 estrellas.,hace un año,"Hasta el momento todo ok, pero la caja vino un poco sucia y sin el plástico que trae encima. Espero no tener problemas con el equipo más adelante.",momento caja venir sucio plástico traer encima esperar tener problema equipo adelante,NEG,"['momento', 'caja', 'venir', 'sucio', 'plástico', 'traer', 'encima', 'esperar', 'tener', 'problema', 'equipo', 'adelante']",0
